"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Reasoning Operational Decisions for Robots via Time Series Causal Inference","Y. Cao; B. Li; Q. Li; A. Stokes; D. Ingram; A. Kiprakis","School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom; School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom; School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom; School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom; School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom; School of Engineering, The University of Edinburgh, Edinburgh, United Kingdom","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","6124","6131","Justifying operational decisions for robots is a challenging task as the operator or the robot itself has to understand the underlying physical interaction between the robot and the environment to predict the potential outcome. It is desirable to understand how the decision influences the operational performance in the way of causal relationship for the purpose of explainable decision-making. Here we propose a novel causal inference framework for the discovery and inference on the reasoning of the operational decisions for robots. It unifies both domain knowledge integration and model-free causal inference, allowing a data-driven causal knowledge learning on time series data. The framework is evaluated in the experiments of an underwater robot with complex environmental interactions. The results show that the framework can learn the causal structure and inference model to accurately explain and predict the operation performance with integrated physics.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561659","Engineering and Physical Sciences Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561659","","Conferences;Time series analysis;Decision making;Predictive models;Unmanned underwater vehicles;Cognition;Data models","causality;robots;time series","reasoning operational decisions;time series causal inference;underlying physical interaction;operational performance;causal relationship;explainable decision-making;novel causal inference framework;domain knowledge integration;data-driven causal knowledge;time series data;underwater robot;causal structure;inference model;model-free causal inference;complex environmental interactions","","1","","21","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Neural Network Control of Industrial Robots Using ROS","M. Trinh; C. Brecher","Laboratory of Machine Tools, RWTH Aachen University, Aachen, Germany; Laboratory of Machine Tools, RWTH Aachen University, Aachen, Germany","2022 Sixth IEEE International Conference on Robotic Computing (IRC)","24 Jan 2023","2022","","","431","434","Neural networks (NNs) are able to model nonlinear systems with increasing accuracy. Further developments towards explainable artificial intelligence or the integration of already existing physical knowledge promote their acceptance and transparency. For these reasons, they are suitable for application in real systems, especially for modeling highly dynamic relationships. One possible application of NNs is the accuracy optimization of robot-based machining processes. Due to their flexibility and comparatively low investment costs, industrial robots (IR) are suitable for the machining of large components. However, due to their design characteristics, IRs show deficiencies with respect to their stiffness compared to traditional machine tools. One way to counteract these problems is to compensate for the compliance by means of model-based control. For this purpose, NNs can be used that predict the drive torques required in the axes. Compared to conventional analytical dynamics models, no complex identification of model parameters is necessary. In addition, NNs can take complex, nonlinear influences such as friction into account. In this work, NNs will be applied for a real-time model-based control of an IR using the Robot Operating System.","","978-1-6654-7260-9","10.1109/IRC55401.2022.00083","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10023821","Robot control;Robot Operating System (ROS);neural networks","Analytical models;Service robots;Operating systems;Artificial neural networks;Machining;Control systems;Real-time systems","costing;design engineering;friction;industrial robots;investment;machine tools;mobile robots;neurocontrollers;operating systems (computers);optimisation;production engineering computing;rigidity;robot programming;torque","artificial intelligence;friction;industrial robots;investment costs;IR;machine tools;neural network control;NN;nonlinear systems;optimization;robot operating system;robot-based machining process;ROS;stiffness","","","","22","IEEE","24 Jan 2023","","","IEEE","IEEE Conferences"
"Natural Language Representation as Features for Place Recognition","A. J. Lee; H. Myung","Department of Civil and Environmental Engineering, KAIST, Daejeon, S. Korea; School of Electrical Engineering, KI-AI at KAIST, Daejeon, S. Korea","2022 19th International Conference on Ubiquitous Robots (UR)","14 Jul 2022","2022","","","284","287","Visual information is rich in content, and robots require computer vision techniques to encode images into information to utilize the images. Robot vision transforms the image into descriptors using predefined patterns, whether defined by handcrafted or learned methods. However, the image descriptors are not explainable to human intelligence and limit human-robot interaction upon vision tasks. On the other hand, recent studies have discovered an efficient and expandable method of transforming an image into natural language forms. With visual transformers, the context in an image is translated into natural language representations. To create an image representation both understandable to humans and artificial intelligence, in this paper, we present a method of using the language-image model as natural representations for robotic place recognition tasks.","","978-1-6654-8253-0","10.1109/UR55393.2022.9826253","Technology Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826253","","Visualization;Image recognition;Natural languages;Robot vision systems;Human-robot interaction;Tactile sensors;Transforms","artificial intelligence;computer vision;feature extraction;human-robot interaction;image representation;learning (artificial intelligence);mobile robots;natural language processing;natural languages;robot vision","visual information;computer vision techniques;robot vision;predefined patterns;handcrafted learned methods;image descriptors;human intelligence;human-robot interaction;vision tasks;efficient method;expandable method;natural language forms;visual transformers;natural language representation;image representation;language-image model;natural representations;robotic place recognition tasks","","","","22","IEEE","14 Jul 2022","","","IEEE","IEEE Conferences"
"Mixed-initiative Manned-unmanned Teamwork Using Coactive Design and Graph Neural Network","Z. Wang; C. Wang; Y. Niu","College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China","2020 3rd International Conference on Unmanned Systems (ICUS)","7 Dec 2020","2020","","","538","543","Mixed-initiative decision making is a flexible and effective way for coherent manned-unmanned teamwork (MUT). It allows the autonomous adjustment of levels of autonomy (LOA) and the human-robot collaboration modes according to the task requirements as well as the states of environments, robots and the human operator. However, it is still difficult for humans and robots to understand each other's intentions and motivations due to the challenges of cognition representation and behavior reasoning. In this paper, we propose a novel mixed-initiative MUT approach using coactive design and graph neural networks (GNN) towards explainable human-robot collaboration. First, an interdependence analysis table is designed for a specific manned-unmanned aerial vehicle task following the coactive design principles of observability, predictability and directablity. Then, a multi-agent dynamic task assignment system is designed based on a task model with key decision-making points. Finally, we have used the Graph Network Library to design a GNN model for adjusting the LOA among the MAV and UAVs in the given task.","","978-1-7281-8025-0","10.1109/ICUS50048.2020.9274913","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274913","mixed-initiative;coactive design;dynamic task assignment;graph neural network;levels of autonomy","Task analysis;Man-machine systems;Libraries","autonomous aerial vehicles;decision making;graph theory;human-robot interaction;mobile robots;multi-agent systems;multi-robot systems;neural nets;observability;remotely operated vehicles;task analysis","interdependence analysis table;directablity;predictability;observability;specific manned-unmanned aerial vehicle task;mixed-initiative MUT approach;Graph Network Library;key decision-making points;multiagent dynamic task assignment system;coactive design principles;behavior reasoning;cognition representation;human operator;task requirements;human-robot collaboration modes;LOA;mixed-initiative decision making;graph neural network;initiative manned-unmanned teamwork","","1","","16","IEEE","7 Dec 2020","","","IEEE","IEEE Conferences"
"SignExplainer: An Explainable AI-Enabled Framework for Sign Language Recognition With Ensemble Learning","D. R. Kothadiya; C. M. Bhatt; A. Rehman; F. S. Alamri; T. Saba","U & P U Patel Department of Computer Engineering, Faculty of Technology (FTE), Chandubhai S. Patel Institute of Technology (CSPIT), Charotar University of Science and Technology (CHARUSAT), Changa, India; Department of Computer Science and Engineering, School of Engineering and Technology, Pandit Deendayal Energy University, Gujarat, Gandhinagar, India; Artificial Intelligence and Data Analytics Laboratory (AIDA),College of Computer and Information Sciences (CCIS), Prince Sultan University, Riyadh, Saudi Arabia; Department of Mathematical Sciences, College of Science, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia; Artificial Intelligence and Data Analytics Laboratory (AIDA),College of Computer and Information Sciences (CCIS), Prince Sultan University, Riyadh, Saudi Arabia","IEEE Access","19 May 2023","2023","11","","47410","47419","Deep learning has significantly aided current advancements in artificial intelligence. Deep learning techniques have significantly outperformed more than typical machine learning approaches, in various fields like Computer Vision, Natural Language Processing (NLP), Robotics Science, and Human-Computer Interaction (HCI). Deep learning models are ineffective in outlining their fundamental mechanism. That’s the reason the deep learning model mainly consider as Black-Box. To establish confidence and responsibility, deep learning applications need to explain the model’s decision in addition to the prediction of results. The explainable AI (XAI) research has created methods that offer these interpretations for already trained neural networks. It’s highly recommended for computer vision tasks relevant to medical science, defense system, and many more. The proposed study is associated with XAI for Sign Language Recognition. The methodology uses an attention-based ensemble learning approach to create a prediction model more accurate. The proposed methodology used ResNet50 with the Self Attention model to design ensemble learning architecture. The proposed ensemble learning approach has achieved remarkable accuracy at 98.20%. In interpreting ensemble learning prediction, the author has proposed SignExplainer to explain the relevancy (in percentage) of predicted results. SignExplainer has illustrated excellent results, compared to other conventional Explainable AI models reported in state of the art.","2169-3536","","10.1109/ACCESS.2023.3274851","Princess Nourah bint Abdulrahman University Researchers Supporting through Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia(grant numbers:PNURSP2023R346); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10122570","Deep learning;computer vision;explainable AI;SignExplainer;classification;sign language;technological development","Deep learning;Artificial intelligence;Computational modeling;Predictive models;Assistive technologies;Computer vision;Gesture recognition","artificial intelligence;computer vision;deep learning (artificial intelligence);human computer interaction;learning (artificial intelligence);natural language processing;neural nets;sign language recognition","attention-based ensemble learning approach;computer vision tasks;conventional Explainable AI models;deep learning applications;deep learning model;deep learning techniques;ensemble learning architecture;ensemble learning prediction;explainable AI research;Explainable AI-enabled framework;Human-Computer Interaction;Natural Language Processing;prediction model;Self Attention model;Sign Language Recognition;SignExplainer;typical machine learning approaches","","","","45","CCBYNCND","10 May 2023","","","IEEE","IEEE Journals"
"Surgical Gesture Recognition Based on Bidirectional Multi-Layer Independently RNN with Explainable Spatial Feature Extraction","D. Zhang; R. Wang; B. Lo","The Hamlyn Centre for Robotic Surgery, Imperial College London, London, United Kingdom; The Hamlyn Centre for Robotic Surgery, Imperial College London, London, United Kingdom; The Hamlyn Centre for Robotic Surgery, Imperial College London, London, United Kingdom","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","1350","1356","Minimally invasive surgery mainly consists of a series of sub-tasks, which can be decomposed into basic gestures or contexts. As a prerequisite of autonomic operation, surgical gesture recognition can assist motion planning and decision-making, and build up context-aware knowledge to improve the surgical robot control quality. In this work, we aim to develop an effective surgical gesture recognition approach with an explainable feature extraction process.A Bidirectional Multi-Layer independently RNN (BMLindRNN) model is proposed in this paper, while spatial feature extraction is implemented via fine-tuning of a Deep Convolutional Neural Network (DCNN) model constructed based on the VGG architecture. To eliminate the black-box effects of DCNN, Gradient-weighted Class Activation Mapping (Grad-CAM) is employed. It can provide explainable results by showing the regions of the surgical images that have a strong relationship with the surgical gesture classification results.The proposed method was evaluated based on the suturing task with data obtained from the public available JIGSAWS database. Comparative studies were conducted to verify the proposed framework. Results indicated that the testing accuracy for the suturing task based on our proposed method is 87.13%, which outperforms most of the state-of-the-art algorithms.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561803","","Recurrent neural networks;Minimally invasive surgery;Medical robotics;Databases;Decision making;Gesture recognition;Feature extraction","control engineering computing;convolutional neural nets;deep learning (artificial intelligence);feature extraction;gesture recognition;image classification;image recognition;manipulators;medical image processing;medical robotics;surgery","explainable spatial feature extraction;minimally invasive surgery;basic gestures;context-aware knowledge;surgical robot control quality;effective surgical gesture recognition approach;explainable feature extraction process;gradient-weighted class activation mapping;explainable results;surgical images;surgical gesture classification results;suturing task;deep convolutional neural network model;bidirectional multilayer independently RNN model","","5","","42","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Online Explanation Generation for Planning Tasks in Human-Robot Teaming","M. Zakershahrak; Z. Gong; N. Sadassivam; Y. Zhang","School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","10 Feb 2021","2020","","","6304","6310","As AI becomes an integral part of our lives, the development of explainable AI, embodied in the decision-making process of an AI or robotic agent, becomes imperative. For a robotic teammate, the ability to generate explanations to justify its behavior is one of the key requirements of explainable agency. Prior work on explanation generation has been focused on supporting the rationale behind the robot's decision or behavior. These approaches, however, fail to consider the mental demand for understanding the received explanation. In other words, the human teammate is expected to understand an explanation no matter how much information is presented. In this work, we argue that explanations, especially those of a complex nature, should be made in an online fashion during the execution, which helps spread out the information to be explained and thus reduce the mental workload of humans in highly cognitive demanding tasks. However, a challenge here is that the different parts of an explanation may be dependent on each other, which must be taken into account when generating online explanations. To this end, a general formulation of online explanation generation is presented with three variations satisfying different ""online"" properties. The new explanation generation methods are based on a model reconciliation setting introduced in our prior work. We evaluated our methods both with human subjects in a simulated rover domain, using NASA Task Load Index (TLX), and synthetically with ten different problems across two standard IPC domains. Results strongly suggest that our methods generate explanations that are perceived as less cognitively demanding and much preferred over the baselines and are computationally efficient.","2153-0866","978-1-7281-6212-6","10.1109/IROS45743.2020.9341792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341792","","NASA;Planning;Task analysis;Artificial intelligence;Standards;Intelligent robots;Load modeling","decision making;human-robot interaction;mobile robots;multi-robot systems;path planning;planetary rovers","online explanation generation;human-robot teaming;explainable AI;decision-making process;robotic agent;robotic teammate;explainable agency;received explanation;human teammate;explanation generation methods;NASA task load index","","4","","30","IEEE","10 Feb 2021","","","IEEE","IEEE Conferences"
"Counterexamples for Robotic Planning Explained in Structured Language","L. Feng; M. Ghasemi; K. -W. Chang; U. Topcu","Department of Computer Science, University of Virginia, Charlottesville, VA, USA; Department of Mechanical Engineering, The University of Texas at Austin, Austin, TX, USA; Department of Computer Science, UCLA, Los Angeles, CA, USA; Department of Aerospace Engineering and Engineering Mechanics, The University of Texas at Austin, Austin, TX, USA","2018 IEEE International Conference on Robotics and Automation (ICRA)","13 Sep 2018","2018","","","7292","7297","Automated techniques such as model checking have been used to verify models of robotic mission plans based on Markov decision processes (MDPs) and generate counterexamples that may help diagnose requirement violations. However, such artifacts may be too complex for humans to understand, because existing representations of counterexamples typically include a large number of paths or a complex automaton. To help improve the interpretability of counterexamples, we define a notion of explainable counterexample, which includes a set of structured natural language sentences to describe the robotic behavior that lead to a requirement violation in an MDP model of robotic mission plan. We propose an approach based on mixed-integer linear programming for generating explainable counterexamples that are minimal, sound and complete. We demonstrate the usefulness of the proposed approach via a case study of warehouse robots planning.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460945","","Robots;Natural languages;Planning;Computational modeling;Charging stations;Model checking;Markov processes","control engineering computing;formal verification;integer programming;linear programming;Markov processes;natural languages;path planning;robots","complex automaton;mixed-integer linear programming;Markov decision processes;model checking;warehouse robots planning;robotic mission plan;MDP model;robotic behavior;structured natural language sentences","","3","","11","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"An Abstract Architecture for Explainable Autonomy in Hazardous Environments","M. Luckcuck; H. M. Taylor; M. Farrell","Department of Computer Science, Hamilton Institute, Maynooth University, Ireland; Department of Computer Science, University of Manchester, United Kingdom; Department of Computer Science, Hamilton Institute, Maynooth University, Ireland","2022 IEEE 30th International Requirements Engineering Conference Workshops (REW)","20 Oct 2022","2022","","","108","113","Autonomous robotic systems are being proposed for use in hazardous environments, often to reduce the risks to human workers. In the immediate future, it is likely that human workers will continue to use and direct these autonomous robots, much like other computerised tools but with more sophisticated decision-making. Therefore, one important area on which to focus engineering effort is ensuring that these users trust the system. Recent literature suggests that explainability is closely related to how trustworthy a system is. Like safety and security properties, explainability should be designed into a system, instead of being added afterwards. This paper presents an abstract architecture that supports an autonomous system explaining its behaviour (explainable autonomy), providing a design template for implementing explainable autonomous systems. We present a worked example of how our architecture could be applied in the civil nuclear industry, where both workers and regulators need to trust the system’s decision-making capabilities.","2770-6834","978-1-6654-6000-2","10.1109/REW56159.2022.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9920144","Autonomous Systems Explainable AI Explainable Autonomy Software Architecture Rational Agents","Industries;Regulators;Conferences;Decision making;Computer architecture;Safety;Security","decision making;hazardous areas;industrial robots;mobile robots","abstract architecture;explainable autonomy;hazardous environments;autonomous robotic systems;human workers;computerised tools;sophisticated decision-making;engineering effort;explainability;safety;security properties;design template;explainable autonomous systems","","","","37","IEEE","20 Oct 2022","","","IEEE","IEEE Conferences"
"Explanation-Based Reward Coaching to Improve Human Performance via Reinforcement Learning","A. Tabrez; S. Agrawal; B. Hayes","University of Colorado Boulder, Boulder, CO; University of Colorado Boulder, Boulder, CO; University of Colorado Boulder, Boulder, CO","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","249","257","For robots to effectively collaborate with humans, it is critical to establish a shared mental model amongst teammates. In the case of incongruous models, catastrophic failures may occur unless mitigating steps are taken. To identify and remedy these potential issues, we propose a novel mechanism for enabling an autonomous system to detect model disparity between itself and a human collaborator, infer the source of the disagreement within the model, evaluate potential consequences of this error, and finally, provide human-interpretable feedback to encourage model correction. This process effectively enables a robot to provide a human with a policy update based on perceived model disparity, reducing the likelihood of costly or dangerous failures during joint task execution. This paper makes two contributions at the intersection of explainable AI (xAI) and human-robot collaboration: 1) The Reward Augmentation and Repair through Explanation (RARE) framework for estimating task understanding and 2) A human subjects study illustrating the effectiveness of reward augmentation-based policy repair in a complex collaborative task.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673104","Explainable AI;Policy Explanation;Human-Robot Collaboration;Reward Estimation;Joint Task Execution","Task analysis;Robots;Collaboration;Maintenance engineering;Hidden Markov models;Cognitive science;Team working","human-robot interaction;learning (artificial intelligence);team working","reinforcement learning;shared mental model;teammates;incongruous models;catastrophic failures;mitigating steps;autonomous system;human collaborator;potential consequences;human-interpretable feedback;model correction;policy update;perceived model disparity;costly failures;dangerous failures;joint task execution;explainable AI;human-robot collaboration;human subjects;reward augmentation-based policy repair;complex collaborative task;explanation-based reward coaching;human performance improvement;model disparity;reward augmentation and repair through explanation framework;RARE framework;task understanding","","22","","34","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"In-Hand Object Recognition with Innervated Fiber Optic Spectroscopy for Soft Grippers","N. Hanson; H. Hochsztein; A. Vaidya; J. Willick; K. Dorsey; T. Padir","Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA; Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA; Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA; Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA; Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA; Institute for Experiential Robotics, Northeastern University, Boston, Massachusetts, USA","2022 IEEE 5th International Conference on Soft Robotics (RoboSoft)","28 Apr 2022","2022","","","852","858","Previous work in material sensing with soft robots has focused on integrating flexible force sensors or optical waveguides to infer object shape and mass from experimental data. In this work, we present a novel modular sensing platform integrated into a hybrid-manufactured soft robot gripper to collect and process high-fidelity spectral information. The custom design of the gripper is realized using 3D printing and casting. We embed full-spectrum light sources paired with lensed fiber optic cables within an optically clear gel, to collect multi-point spectral reflectivity curves in the Visible to Near Infrared (VNIR) segment of the electromagnetic spectrum. We introduce a processing pipeline to collect, clean, and merge multiple spectral readings. As a demonstration of sensor capabilities, we gather sample readings from several similarly-shaped and textured items to show how spectroscopy enables explainable differentiation between objects. The integration of spectroscopic data presents a promising new sensing modality for soft robots to understand the material composition of grasped items, facilitating numerous applications for food-processing and manufacturing.","","978-1-6654-0828-8","10.1109/RoboSoft54090.2022.9762166","National Science Foundation(grant numbers:1928654); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762166","Soft sensors and actuators;additive manufacturing;perception for grasping and manipulation;spectral sensing","Optical fibers;Optical fiber sensors;Spectroscopy;Optical device fabrication;Optical fiber cables;Soft robotics;Robot sensing systems","casting;fibre optic sensors;grippers;light sources;object recognition;optical cables;reflectivity;three-dimensional printing","in-hand object recognition;innervated fiber optic spectroscopy;soft grippers;modular sensing platform;hybrid-manufactured soft robot gripper;casting;full-spectrum light sources;lensed fiber optic cables;optically clear gel;multipoint spectral reflectivity curves;electromagnetic spectrum;processing pipeline;near infrared segment;3D printing;visible-near infrared spectra","","2","","31","IEEE","28 Apr 2022","","","IEEE","IEEE Conferences"
"Evaluating Human-like Explanations for Robot Actions in Reinforcement Learning Scenarios","F. Cruz; C. Young; R. Dazeley; P. Vamplew","School of Computer Science and Engineering, University of New South Wales, Sydney, Australia; School of Engineering, IT and Physical Sciences, Federation University, Ballarat, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Engineering, IT and Physical Sciences, Federation University, Ballarat, Australia","2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","26 Dec 2022","2022","","","894","901","Explainable artificial intelligence is a research field that tries to provide more transparency for autonomous intelligent systems. Explainability has been used, particularly in reinforcement learning and robotic scenarios, to better understand the robot decision-making process. Previous work, however, has been widely focused on providing technical explanations that can be better understood by AI practitioners than non-expert end-users. In this work, we make use of human-like explanations built from the probability of success to complete the goal that an autonomous robot shows after performing an action. These explanations are intended to be understood by people who have no or very little experience with artificial intelligence methods. This paper presents a user trial to study whether these explanations that focus on the probability an action has of succeeding in its goal constitute a suitable explanation for non-expert end-users. The results obtained show that non-expert participants rate robot explanations that focus on the probability of success higher and with less variance than technical explanations generated from Q-values, and also favor counterfactual explanations over standalone explanations.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981334","Deakin University; Federation University Australia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981334","","Training;Presses;Scholarships;Reinforcement learning;Planning;Australia;Task analysis","artificial intelligence;decision making;expert systems;learning (artificial intelligence);mobile robots","artificial intelligence methods;autonomous intelligent systems;autonomous robot shows;counterfactual explanations;explainability;explainable artificial intelligence;nonexpert end-users;nonexpert participants rate robot explanations;reinforcement learning scenarios;robot actions;robot decision-making process;robotic scenarios;standalone explanations;suitable explanation;technical explanations;user trial","","1","","32","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Improving Visual Question Answering by Leveraging Depth and Adapting Explainability","A. Panesar; F. I. Doğan; I. Leite","Division of Robotics, Perception and Learning From the School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Division of Robotics, Perception and Learning From the School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Division of Robotics, Perception and Learning From the School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","252","259","During human-robot conversation, it is critical for robots to be able to answer users’ questions accurately and provide a suitable explanation for why they arrive at the answer they provide. Depth is a crucial component in producing more intelligent robots that can respond correctly as some questions might rely on spatial relations within the scene, for which 2D RGB data alone would be insufficient. Due to the lack of existing depth datasets for the task of VQA, we introduce a new dataset, VQA-SUNRGBD. When we compare our proposed model on this RGB-D dataset against the baseline VQN network on RGB data alone, we show that ours outperforms, particularly in questions relating to depth such as asking about the proximity of objects and relative positions of objects to one another. We also provide Grad-CAM activations to gain insight regarding the predictions on depth-related questions and find that our method produces better visual explanations compared to Grad-CAM on RGB data. To our knowledge, this work is the first of its kind to leverage depth and an explainability module to produce an explainable Visual Question Answering (VQA) system.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900586","Visual Question Answering;Leveraging Depth;Explainability","Visualization;Oral communication;Question answering (information retrieval);Data models;Task analysis;Intelligent robots","data visualisation;image colour analysis;intelligent robots;man-machine systems;mobile robots;object-oriented methods;question answering (information retrieval);robot vision;semantic networks;user interfaces;video signal processing","improving visual question answering;adapting explainability;human-robot conversation;answer users;suitable explanation;intelligent robots;spatial relations;RGB data;depth datasets;VQA-SUNRGBD;RGB-D;baseline VQN network;Grad-CAM activations;depth-related questions;visual explanations;leverage depth;explainability module;explainable Visual Question","","","","27","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"A decision making model for ethical (ro)bots","F. Alaieri; A. Vellino","Management Information Systems/School of Information Studies, Qassim University/University of Ottawa, Saudi Arabia, Ottawa, Canada; School of Information Studies, University of Ottawa, Ottawa, Canada","2017 IEEE International Symposium on Robotics and Intelligent Sensors (IRIS)","11 Jan 2018","2017","","","203","207","Autonomous bots and robots (we label “(ro)bots”), ranging from shopping assistant chatbots to self-driving cars are already able to make decisions that have ethical consequences. As more such machines make increasingly complex and significant decisions, we need to know that their decisions are trustworthy and ethically justified so that users, manufacturers and lawmakers can understand how these decisions are made and which ethical principles were brought to bear in making them. Understanding how such decisions are made is particularly important in the case where a (ro)bot is a self-improving, self-learning type of machine whose choices and decisions are based on past experience, given that they may not be entirely predictable ahead of time or explainable after the fact. This paper presents a model that decomposes the stages of ethical decision making into their elementary components with a view to enabling stakeholders to allocate the responsibility for such choices.","","978-1-5386-1342-9","10.1109/IRIS.2017.8250122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250122","Decision making;machine ethics;autonomy;trust;responsibility","Decision making;Robot sensing systems;Learning (artificial intelligence);Planning;Intelligent sensors","decision making;ethical aspects;mobile robots;service robots","ethical principles;ethical decision;decision making model;ethicalbots;autonomous bots;robots;shopping assistant chatbots;self-driving cars;ethical consequences","","3","","14","IEEE","11 Jan 2018","","","IEEE","IEEE Conferences"
"WhiteMech: White-Box Self-Programming Mechanisms","G. de Giacomo","Dept. of Computer Science and Engineering, University of Rome","2019 IEEE 18th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC)","22 Jul 2020","2019","","","3","3","Dynamic systems that operate autonomously in nondeterministic (uncertain) environments are becoming a reality. These include intelligent robots, self-driving cars, but also manufacturing systems (Industry 4.0), smart objects and spaces (IoT), advanced business process management systems (BPM), and many others. These systems are currently being revolutionized by advancements in sensing (vision, language understanding) and actuation components (autonomous mobile manipulators, automated storage and retrieval systems). However, despite of these advances, their core logic is still mainly based on hard-wired rules either designed or possibly obtained through a learning process. On the other hand, we can envision systems that are able to deliberate by themselves about their course of action when un-anticipated circumstances arise, new goals are submitted, new safety conditions are required, and new regulations and conventions are imposed. Crucially, empowering dynamic systems with deliberating capabilities carries significant risks and therefore we must be able to balance such power with trust. For this reason, it is of interest to make these systems queryable, analyzable and explainable in human terms, so as to be guarded by human oversight. Recent scientific discoveries in Knowledge Representation and Planning combined with insights from Verification and Synthesis in Formal Methods, Data-Aware Processes in Databases, as well as other areas of AI, chart a novel path for realizing what we may call White-Box Self-Programming Mechanisms, that is, systems with a multifaceted model of the world that can be exploited to deliberate on their course of action and answer queries about their behavior.","","978-1-7281-1419-4","10.1109/ICCICC46617.2019.9146075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146075","","Computer science;Knowledge representation;Planning;Intelligent robots;Autonomous automobiles;Manufacturing systems","business data processing;intelligent robots;knowledge representation;mobile robots","Data-Aware Processes;learning process;retrieval systems;automated storage;autonomous mobile manipulators;language understanding;advanced business process management systems;self-driving cars;intelligent robots;nondeterministic environments;dynamic systems;White-Box Self-Programming Mechanisms","","","","0","IEEE","22 Jul 2020","","","IEEE","IEEE Conferences"
