"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","Brawer J,Ghose D,Candon K,Qin M,Roncone A,Vázquez M,Scassellati B","Interactive Policy Shaping for Human-Robot Collaboration with Transparent Matrix Overlays","","2023","","","525–533","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction","Stockholm, Sweden","2023","9781450399647","","https://doi.org/10.1145/3568162.3576983;http://dx.doi.org/10.1145/3568162.3576983","10.1145/3568162.3576983","One important aspect of effective human--robot collaborations is the ability for robots to adapt quickly to the needs of humans. While techniques like deep reinforcement learning have demonstrated success as sophisticated tools for learning robot policies, the fluency of human-robot collaborations is often limited by these policies' inability to integrate changes to a user's preferences for the task. To address these shortcomings, we propose a novel approach that can modify learned policies at execution time via symbolic if-this-then-that rules corresponding to a modular and superimposable set of low-level constraints on the robot's policy. These rules, which we call Transparent Matrix Overlays, function not only as succinct and explainable descriptions of the robot's current strategy but also as an interface by which a human collaborator can easily alter a robot's policy via verbal commands. We demonstrate the efficacy of this approach on a series of proof-of-concept cooking tasks performed in simulation and on a physical robot.","interactive robot learning, reinforcement learning, human-robot collaboration, symbolic reasoning","","HRI '23"
"Conference Paper","Camilli M,Mirandola R,Scandurra P","XSA: EXplainable Self-Adaptation","","2023","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering","Rochester, MI, USA","2023","9781450394758","","https://doi.org/10.1145/3551349.3559552;http://dx.doi.org/10.1145/3551349.3559552","10.1145/3551349.3559552","Self-adaptive systems increasingly rely on machine learning techniques as black-box models to make decisions even when the target world of interest includes uncertainty and unknowns. Because of the lack of transparency, adaptation decisions, as well as their effect on the world, are hard to explain. This often hinders the ability to trace unsuccessful adaptations back to understandable root causes. In this paper, we introduce our vision of explainable self-adaptation. We demonstrate our vision by instantiating our ideas on a running example in the robotics domain and by showing an automated proof-of-concept process providing human-understandable explanations for successful and unsuccessful adaptations in critical scenarios.","explainability, machine learning, control loop, self-adaptive systems","","ASE '22"
"Conference Paper","Tabrez A","Effective Human-Machine Teaming through Communicative Autonomous Agents That Explain, Coach, and Convince","","2023","","","3008–3010","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems","London, United Kingdom","2023","9781450394321","","","","Effective communication is essential for human-robot collaboration to improve task efficiency, fluency, and safety. Good communication between teammates provides shared situational awareness, allowing them to adapt and improvise successfully during uncertain situations, and helps identify and remedy any potential misunderstandings in the case of incongruous mental models. This doctoral proposal focuses on improving human-agent communication by leveraging explainable AI techniques to empower autonomous agents to 1) communicate insights into their capabilities and limitations to a human collaborator, 2) coach and influence human teammates' behavior during joint task execution, and 3) successfully convince and mediate trust in human-robot interactions.","human-agent collaboration, reinforcement learning, shared mental models, augmented reality, explainable ai, policy explanations","","AAMAS '23"
"Journal Article","Kaptein F,Kiefer B,Cully A,Celiktutan O,Bierman B,Rijgersberg-peters R,Broekens J,Van Vught W,Van Bekkum M,Demiris Y,Neerincx MA","A Cloud-Based Robot System for Long-Term Interaction: Principles, Implementation, Lessons Learned","J.  Hum. -Robot Interact.","2021","11","1","","Association for Computing Machinery","New York, NY, USA","","","2021-10","","","https://doi.org/10.1145/3481585;http://dx.doi.org/10.1145/3481585","10.1145/3481585","Making the transition to long-term interaction with social-robot systems has been identified as one of the main challenges in human-robot interaction. This article identifies four design principles to address this challenge and applies them in a real-world implementation: cloud-based robot control, a modular design, one common knowledge base for all applications, and hybrid artificial intelligence for decision making and reasoning. The control architecture for this robot includes a common Knowledge-base (ontologies), Data-base, “Hybrid Artificial Brain” (dialogue manager, action selection and explainable AI), Activities Centre (Timeline, Quiz, Break and Sort, Memory, Tip of the Day, ( ldots ) ), Embodied Conversational Agent (ECA, i.e., robot and avatar), and Dashboards (for authoring and monitoring the interaction). Further, the ECA is integrated with an expandable set of (mobile) health applications. The resulting system is a Personal Assistant for a healthy Lifestyle (PAL), which supports diabetic children with self-management and educates them on health-related issues (48 children, aged 6–14, recruited via hospitals in the Netherlands and in Italy). It is capable of autonomous interaction “in the wild” for prolonged periods of time without the need for a “Wizard-of-Oz” (up until 6 months online). PAL is an exemplary system that provides personalised, stable and diverse, long-term human-robot interaction.","pervasive lifestyle support, conversational agents, long-term human-robot interaction, Cloud-based robots","",""
"Conference Paper","Sukkerd R,Simmons R,Garlan D","Towards Explainable Multi-Objective Probabilistic Planning","","2018","","","19–25","Association for Computing Machinery","New York, NY, USA","Proceedings of the 4th International Workshop on Software Engineering for Smart Cyber-Physical Systems","Gothenburg, Sweden","2018","9781450357289","","https://doi.org/10.1145/3196478.3196488;http://dx.doi.org/10.1145/3196478.3196488","10.1145/3196478.3196488","Use of multi-objective probabilistic planning to synthesize behavior of CPSs can play an important role in engineering systems that must self-optimize for multiple quality objectives and operate under uncertainty. However, the reasoning behind automated planning is opaque to end-users. They may not understand why a particular behavior is generated, and therefore not be able to calibrate their confidence in the systems working properly. To address this problem, we propose a method to automatically generate verbal explanation of multi-objective probabilistic planning, that explains why a particular behavior is generated on the basis of the optimization objectives. Our explanation method involves describing objective values of a generated behavior and explaining any tradeoff made to reconcile competing objectives. We contribute: (i) an explainable planning representation that facilitates explanation generation, and (ii) an algorithm for generating contrastive justification as explanation for why a generated behavior is best with respect to the planning objectives. We demonstrate our approach on a mobile robot case study.","explainable planning, probabilistic planning, multi-objective planning","","SEsCPS '18"
"Conference Paper","Sadanand R,Chittawadigi RG,Joshi RP,Saha SK","Virtual Robots Module: An Effective Visualization Tool for Robotics Toolbox","","2015","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2015 Conference on Advances In Robotics","Goa, India","2015","9781450333566","","https://doi.org/10.1145/2783449.2783475;http://dx.doi.org/10.1145/2783449.2783475","10.1145/2783449.2783475","An introductory level robotics course mainly comprises the topics like geometry, kinematics, and dynamics of serial-chain robots. The description of the robot geometry using the Denavit-Hartenberg parameters and the kinematic and dynamic analyses require advanced mathematical concepts and are computationally intensive for robots with higher degrees-of-freedom. This calls for the use of robotics learning software, which would effectively aid the instructor to explain the concepts lucidly, and help the students in analyzing the mechanics of the robot. Robotics Toolbox is one such commonly used software, which is a collection of MATLAB-based functions that support various dedicated mathematical operations required in mechanical analysis of robots. RoboAnalyzer is another attempt towards the same goal, which focuses on the learning of robotics concepts from the physics of the robot motion. In this paper the integration of the Virtual Robots Module of RoboAnalyzer with the Robotics Toolbox is presented. With multiple number of industrial robot models, the Virtual Robots Module acts as an effective visualization add-in for the analysis performed using the Robotics Toolbox. The proposed visualization add-in can be used from software like MATLAB, MS-Excel, etc. The Virtual Robots Module allows improved visualization and easy simulation of industrial robot models for robotics research and education.","robot simulation, robotics toolbox, robot visualization","","AIR '15"
"Conference Paper","Lyu Y,Liang PP,Deng Z,Salakhutdinov R,Morency LP","DIME: Fine-Grained Interpretations of Multimodal Models via Disentangled Local Explanations","","2022","","","455–467","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society","Oxford, United Kingdom","2022","9781450392471","","https://doi.org/10.1145/3514094.3534148;http://dx.doi.org/10.1145/3514094.3534148","10.1145/3514094.3534148","The ability for a human to understand an Artificial Intelligence (AI) model's decision-making process is critical in enabling stakeholders to visualize model behavior, perform model debugging, promote trust in AI models, and assist in collaborative human-AI decision-making. As a result, the research fields of interpretable and explainable AI have gained traction within AI communities as well as interdisciplinary scientists seeking to apply AI in their subject areas. In this paper, we focus on advancing the state-of-the-art in interpreting multimodal models - a class of machine learning methods that tackle core challenges in representing and capturing interactions between heterogeneous data sources such as images, text, audio, and time-series data. Multimodal models have proliferated numerous real-world applications across healthcare, robotics, multimedia, affective computing, and human-computer interaction. By performing model disentanglement into unimodal contributions (UC) and multimodal interactions (MI), our proposed approach, DIME, enables accurate and fine-grained analysis of multimodal models while maintaining generality across arbitrary modalities, model architectures, and tasks. Through a comprehensive suite of experiments on both synthetic and real-world multimodal tasks, we show that DIME generates accurate disentangled explanations, helps users of multimodal models gain a deeper understanding of model behavior, and presents a step towards debugging and improving these models for real-world deployment.","visualization, interpretability, explainability, multimodal machine learning","","AIES '22"
"Conference Paper","Angelov D,Hristov Y,Ramamoorthy S","Using Causal Analysis to Learn Specifications from Task Demonstrations","","2019","","","1341–1349","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems","Montreal QC, Canada","2019","9781450363099","","","","Learning models of user behaviour is an important problem that is broadly applicable across many application domains requiring human-robot interaction. In this work we show that it is possible to learn a generative model for distinct user behavioral types, extracted from human demonstrations, by enforcing clustering of preferred task solutions within the latent space. We use this model to differentiate between user types and to find cases with overlapping solutions. Moreover, we can alter an initially guessed solution to satisfy the preferences that constitute a particular user type by backpropagating through the learned differentiable model. An advantage of structuring generative models in this way is that it allows us to extract causal relationships between symbols that might form part of the user's specification of the task, as manifested in the demonstrations. We show that the proposed method is capable of correctly distinguishing between three user types, who differ in degrees of cautiousness in their motion, while performing the task of moving objects with a kinesthetically driven robot in a tabletop environment. Our method successfully identifies the correct type, within the specified time, in 99% [97.8 - 99.8] of the cases, which outperforms an IRL baseline. We also show that our proposed method correctly changes a default trajectory to one satisfying a particular user specification even with unseen objects. The resulting trajectory is shown to be directly implementable on a PR2 humanoid robot completing the same task.","robot learning, human-robot interaction, explainability","","AAMAS '19"
"Conference Paper","Hofmann T,Belle V","Abstracting Noisy Robot Programs","","2023","","","534–542","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems","London, United Kingdom","2023","9781450394321","","","","Abstraction is a commonly used process to represent some low-level system by a more coarse specification with the goal to omit unnecessary details while preserving important aspects. While recent work on abstraction in the situation calculus has focused on non-probabilistic domains, we describe an approach to abstraction of probabilistic and dynamic systems. Based on a variant of the situation calculus with probabilistic belief, we define a notion of bisimulation that allows to abstract a detailed probabilistic basic action theory with noisy actuators and sensors by a possibly non-stochastic basic action theory. By doing so, we obtain abstract Golog programs that omit unnecessary details and which can be translated back to a detailed program for actual execution. This simplifies the implementation of noisy robot programs, opens up the possibility of using non-stochastic reasoning methods (e.g., planning) on probabilistic problems, and provides domain descriptions that are more easily understandable and explainable.","abstraction, robot programs, noise, logic","","AAMAS '23"
"Conference Paper","Rebanal J,Combitsis J,Tang Y,Chen Xanthony","XAlgo: A Design Probe of Explaining Algorithms’ Internal States via Question-Answering","","2021","","","329–339","Association for Computing Machinery","New York, NY, USA","26th International Conference on Intelligent User Interfaces","College Station, TX, USA","2021","9781450380171","","https://doi.org/10.1145/3397481.3450676;http://dx.doi.org/10.1145/3397481.3450676","10.1145/3397481.3450676","Algorithms often appear as ’black boxes’ to non-expert users. While prior work focuses on explainable representations and expert-oriented exploration, we propose and study an interactive approach using question answering to explain deterministic algorithms to non-expert users who need to understand the algorithms’ internal states (students learning algorithms, operators monitoring robots, admins troubleshooting network routing). We construct XAlgo—a formal model that first classifies the type of question based on a taxonomy and generates an answer based on a set of rules that extract information from representations of an algorithm’s internal states, the pseudocode. A design probe based on an algorithm learning scenario with 18 participants (9 for a Wizard-of-Oz XAlgo and 9 as a control group) reports findings and design implications based on what kinds of questions people ask, how well XAlgo responds, and what remain as challenges to bridge users’ gulf of algorithm understanding.","Algorithm, Question Answering, Explainable AI, Design Probe","","IUI '21"
"Conference Paper","Cho KJ","Motion of Soft Robots with Physically Embodied Intelligence","","2020","","","1","IEEE Press","Daegu, Republic of Korea","Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction","","2020","9781538685556","","","","Soft robotics deals with interaction with environments that are uncertain and vulnerable to change, by easily adapting to the environment with soft materials. However, softness inherently has large degrees of freedom which greatly complicates the motion generation. There has been no underlying principle for understanding the motion generated of soft robots. A big gap between rigid robots and soft robots has been that the kinematics of rigid robots can be defined using analytical methods, whereas the kinematics of soft robots were hard to be defined. Here, I suggest to use the minimum energy path to explain the kinematics of soft robots. The motion of soft robots follow the path where minimum energy that is required to create deformation. Hence, by plotting an energy map of a soft robot, we can estimate the motion of the soft robot and its reaction to external disturbances. Although it is extremely difficult to plot the energy map of a soft robot, this framework of using energy map to understand the motion of a soft robot can be a basis for unifying the method of explaining the motion generated by soft robots as well as rigid robots. A concept of physically embodied intelligence is a way to simplify the motion generate by soft robots by embodying intelligence into the design. Better performance can be achieved with a simpler actuation by using this concept. In nature, there are few example that exhibit this property. Flytrap, for example, can close its leaves quickly by using bistability of the leaves instead of just relying on the actuation. Inchworm achieves adaptive gripping with its prolegs by using the buckling effect. In this talk, I will give an overview of various soft robotic technologies, and some of the soft robots with physically embodied intelligence that are being developed at SNU Biorobotics Lab and Soft Robotics Research Center. These examples will show that the concept of physically embodied intelligence simplifies the design and enables better performance by exploiting the characteristics of the material and the minimum energy path concept can be a powerful tool to explain the motion generated by these robots.","soft robot, motion, embodied intelligence","","HRI '19"
"Conference Paper","Cao Y,Xu Z,Glenn T,Huo K,Ramani K","Ani-Bot: A Modular Robotics System Supporting Creation, Tweaking, and Usage with Mixed-Reality Interactions","","2018","","","419–428","Association for Computing Machinery","New York, NY, USA","Proceedings of the Twelfth International Conference on Tangible, Embedded, and Embodied Interaction","Stockholm, Sweden","2018","9781450355681","","https://doi.org/10.1145/3173225.3173226;http://dx.doi.org/10.1145/3173225.3173226","10.1145/3173225.3173226","Ani-Bot is a modular robotics system that allows users to control their DIY robots using Mixed-Reality Interaction (MRI). This system takes advantage of MRI to enable users to visually program the robot through the augmented view of a Head-Mounted Display (HMD). In this paper, we first explain the design of the Mixed-Reality (MR) ready modular robotics system, which allows users to instantly perform MRI once they finish assembling the robot. Then, we elaborate the augmentations provided by the MR system in the three primary phases of a construction kit's lifecycle: Creation, Tweaking, and Usage. Finally, we demonstrate Ani-Bot with four application examples and evaluate the system with a two-session user study. The results of our evaluation indicate that Ani-Bot does successfully embed MRI into the lifecycle (Creation, Tweaking, Usage) of DIY robotics and that it does show strong potential for delivering an enhanced user experience.","human-robot interaction, user interface, diy robotics, modular robotics, mixed-reality","","TEI '18"
"Conference Paper","Milliez G,Lallement R,Fiore M,Alami R","Using Human Knowledge Awareness to Adapt Collaborative Plan Generation, Explanation and Monitoring","","2016","","","43–50","IEEE Press","Christchurch, New Zealand","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","","2016","9781467383707","","","","One application of robotics is to assist humans in the achievement of tasks they face in both the workplace and domestic environments. In some situations, a task may require the robot and the human to act together in a collaborative way in order to reach a common goal. To achieve a collaborative plan, each agent (human, robot) needs to be aware of the tasks she/he must carry out and how to perform them. This paper addresses the issue of enhancing a robotic system with a dynamic model of its collaborator's knowledge concerning tasks of a shared plan. Using this model, the robot is able to adapt its collaborative plan generation, its abilities to give explanations and to monitor the overall plan execution.We present the algorithm we have elaborated to take advantage of the tree representation of our Hierarchical Task Network (HTN) planner to enhance the robot with appropriate explanation and execution monitoring abilities.To evaluate how our adaptive system is perceived by users and how much it improves the quality of the Human-Robot interaction, the outcome of a comparative study is presented.","human knowledge awareness, shared plan, joint action, htn, hri","","HRI '16"
"Journal Article","Eggert DW,Martinez C","Using the NAO Humanoid Robot in the Classroom","J. Comput. Sci. Coll.","2014","29","6","9–11","Consortium for Computing Sciences in Colleges","Evansville, IN, USA","","","2014-06","","1937-4771","","","Robotics is a growing area, as evidenced by DARPA's recent Grand Challenge. A currently popular humanoid robot, NAO, developed by Aldebaran Robotics, has been used in many classroom activities, as well as competitions such as Robocup. This workshop will describe the features of NAO and introduce its software development environment, which includes a graphical programming language, a simulator, and APIs for many languages. Example programs developed in the graphical environment, as well as using the Python API, will be demonstrated and explained. A hands-on activity will allow participants to use either programming environment to perform a simple task. Ideas for using NAO in various settings will be presented as well. This workshop is intended for instructors at many levels. A Windows/Mac laptop is recommended.","","",""
"Conference Paper","Hendrich N,Bistry H,Adler B,Zhang J","User-Driven Software Design for an Elderly Care Service Robot","","2014","","","142–149","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","Brussels, BEL","Proceedings of the 8th International Conference on Pervasive Computing Technologies for Healthcare","Oldenburg, Germany","2014","9781631900112","","https://doi.org/10.4108/icst.pervasivehealth.2014.254956;http://dx.doi.org/10.4108/icst.pervasivehealth.2014.254956","10.4108/icst.pervasivehealth.2014.254956","This paper describes a service- and scenario-driven software architecture for the ambient assisted living infrastructure currently under development in the Robot-Era project. Involving the end-users from the start, the project integrates an ambient sensor network with an advanced knowledge-representation and planning system and three different robots for outdoor, condominium, and indoor service roles. We explain the design decisions for the user-friendly and medium-cost service robot, with a focus on the integration of the ROS-based sensing and manipulation capabilities with precise indoor navigation and the PEIS middleware for ubiquitous robotics.","ambient sensor networks, assisted living, elderly care, service robotics","","PervasiveHealth '14"
"Conference Paper","Bobu A,Scobee DR,Fisac JF,Sastry SS,Dragan AD","LESS is More: Rethinking Probabilistic Models of Human Behavior","","2020","","","429–437","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","Cambridge, United Kingdom","2020","9781450367462","","https://doi.org/10.1145/3319502.3374811;http://dx.doi.org/10.1145/3319502.3374811","10.1145/3319502.3374811","Robots need models of human behavior for both inferring human goals and preferences, and predicting what people will do. A common model is the Boltzmann noisily-rational decision model, which assumes people approximately optimize a reward function and choose trajectories in proportion to their exponentiated reward. While this model has been successful in a variety of robotics domains, its roots lie in econometrics, and in modeling decisions among different discrete options, each with its own utility or reward. In contrast, human trajectories lie in a continuous space, with continuous-valued features that influence the reward function. We propose that it is time to rethink the Boltzmann model, and design it from the ground up to operate over such trajectory spaces. We introduce a model that explicitly accounts for distances between trajectories, rather than only their rewards. Rather than each trajectory affecting the decision independently, similar trajectories now affect the decision together. We start by showing that our model better explains human behavior in a user study. We then analyze the implications this has for robot inference, first in toy environments where we have ground truth and find more accurate inference, and finally for a 7DOF robot arm learning from user demonstrations.","robot inference and prediction, human decision modeling","","HRI '20"
"Conference Paper","Lutz C,Tamò A","RoboCode-Ethicists: Privacy-Friendly Robots, an Ethical Responsibility of Engineers?","","2015","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM Web Science Conference","Oxford, United Kingdom","2015","9781450336727","","https://doi.org/10.1145/2786451.2786465;http://dx.doi.org/10.1145/2786451.2786465","10.1145/2786451.2786465","This article asks why engineers building robots should consider privacy aspects when programming their gadgets. We start with a definition of robots, differentiating active, social robots from passive, non-social robots. We then discuss the related literature on the privacy implications of social robots. Two aspects are of fundamental concern in this context: the pervasiveness and intrusiveness of robots on the one hand and a general lack of awareness and knowledge about how robots work, collect and process sensitive data on the other hand. We explain how the existing literature on robot ethics provides a suitable framework to address these two issues. In particular, robot ethics are useful to point out how engineers' and regulators' mindset towards privacy protection differs. The paper argues that different -- at first sight incommensurable -- rationalities exist when it comes to robotic privacy. As a contribution to the emerging field of robotic privacy, we propose an interdisciplinary and collaborative approach that bridges the two rationalities. This approach considers the role of code as the central governing element of robots. RoboCode-Ethicists, trans-disciplinary experts trained in the technical/computational, legal and social aspects of robotics, should lead the way in the discussion on robotic privacy. They could mediate between different stakeholders -- mainly regulators, users and engineers -- and address emerging privacy issues as early as possible.","Robots, Privacy, Ethical Coding, Applied Ethics","","WebSci '15"
"Conference Paper","Kyrylov V","Integrating the Computer Science Curriculum by Using Robot Soccer Simulator","","2013","","","","Society for Computer Simulation International","San Diego, CA, USA","Proceedings of the Emerging M&S Applications in Industry & Academia / Modeling and Humanities Symposium","San Diego, California","2013","9781627480390","","","","Robot soccer simulator is a reasonably complex software system that appears to be suitable as an instructive case study for Computer Science and Information Technology curricula. This has been noticed by many educators. All of them were using the well-known RoboCup soccer simulator. However, previous studies that explored this opportunity were narrowly focused on courses in Robotics and AI neglecting other possibilities. To some extent, this could be explained by that the RoboCup simulator is over complicated for undergraduate students (although it is good for students in masters program). We overcome this difficulty by proposing a simplified, yet sophisticated enough, soccer simulator having some extra features. As the result, our simulator, Tao of Soccer, can be used in a wide range of CS & IT courses. This paper explores opportunities for across-curriculum integration using Tao of Soccer as a business case and the synergies that this approach can create for learners.","across-curriculum integration, RoboCup, tao of soccer, robotic soccer, simulated soccer","","EAIA and MatH '13"
"Conference Paper","Tsang E,Gavan C,Anderson M","The Practical Application of LEGO® MINDSTORMS® Robotics Kits: Does It Enhance Undergraduate Computing Students' Engagement in Learning the Java Programming Language?","","2014","","","121–126","Association for Computing Machinery","New York, NY, USA","Proceedings of the 15th Annual Conference on Information Technology Education","Atlanta, Georgia, USA","2014","9781450326865","","https://doi.org/10.1145/2656450.2656454;http://dx.doi.org/10.1145/2656450.2656454","10.1145/2656450.2656454","This research investigates the extent to which the practical application of robotics affects undergraduate computing students' engagement in learning the Java programming language. Current literature suggests that the practical application of objects enables students to engage and understand concepts within engineering, robotics and computing disciplines easier than purely theoretical teaching methods. This research measures student engagement based on affective, behavioural, cognitive and performance engagement factors. Questionnaires, interviews and observations were exercised in order to explore the reasons that student engagement is affected. The findings suggest that the LEGO® MINDSTORMS® robotics are positively engaging students to learn the Java programming language at an undergraduate level. Negative aspects, of limitations and non-participation, may be explained through external factors including the structure of the module and peer and social pressure.","human factors, design, management, theory","","SIGITE '14"
"Conference Paper","Bahuguna J,Chittawadigi RG,Saha SK","Teaching and Learning of Robot Kinematics Using RoboAnalyzer Software","","2013","","","1–6","Association for Computing Machinery","New York, NY, USA","Proceedings of Conference on Advances In Robotics","Pune, India","2013","9781450323475","","https://doi.org/10.1145/2506095.2506142;http://dx.doi.org/10.1145/2506095.2506142","10.1145/2506095.2506142","Robots are used at various places for different applications and hence the subjects related to robotics find their place in the courses of Mechanical and Electrical engineering disciplines. The concepts of robotics are typically difficult to understand from images and figures, thus several software to aid the learning of these concepts have been developed. RoboAnalyzer is one such software developed by the authors to perform kinematic and dynamic analyses of serial robots. It is an ongoing activity and in this paper, the modules of ""Visualization of DH Parameters and Transformations"", ""3D CAD Model Importer"" and ""Inverse Kinematics"" are explained and illustrated. RoboAnalyzer software can be downloaded for free from http://www.roboanalyzer.com and can be used almost instantly.","DH Parameters, Inverse Kinematics, 3D Robot Models, Robotics Learning Software","","AIR '13"
"Conference Paper","Karli UB,Cao S,Huang CM","""What If It Is Wrong"": Effects of Power Dynamics and Trust Repair Strategy on Trust and Compliance in HRI","","2023","","","271–280","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction","Stockholm, Sweden","2023","9781450399647","","https://doi.org/10.1145/3568162.3576964;http://dx.doi.org/10.1145/3568162.3576964","10.1145/3568162.3576964","Robotic systems designed to work alongside people are susceptible to technical and unexpected errors. Prior work has investigated a variety of strategies aimed at repairing people's trust in the robot after its erroneous operations. In this work, we explore the effect of post-error trust repair strategies (promise and explanation) on people's trust in the robot under varying power dynamics (supervisor and subordinate robot). Our results show that, regardless of the power dynamics, promise is more effective at repairing user trust than explanation. Moreover, people found a supervisor robot with verbal trust repair to be more trustworthy than a subordinate robot with verbal trust repair. Our results further reveal that people are prone to complying with the supervisor robot even if it is wrong. We discuss the ethical concerns in the use of supervisor robot and potential interventions to prevent improper compliance in users for more productive human-robot collaboration.","human-robot power dynamics, human-robot collaboration, human-robot trust, trust repair","","HRI '23"
"Conference Paper","De Raffaele C,Smith S,Gemikonakli O","Enabling the Effective Teaching and Learning of Advanced Robotics in Higher Education Using an Active TUI Framework","","2017","","","7–12","Association for Computing Machinery","New York, NY, USA","Proceedings of the 3rd Africa and Middle East Conference on Software Engineering","Cairo, Egypt","2017","9781450355124","","https://doi.org/10.1145/3178298.3178299;http://dx.doi.org/10.1145/3178298.3178299","10.1145/3178298.3178299","This paper presents a tangible user interface (TUI) architecture to help mitigate the educational difficulties in teaching and learning abstract and complex concepts in Software Engineering and Robotics. The tailored design and development of this innovative framework address the unique challenges faced in higher education to actively engage students in technical concepts required to develop smart knowledge infrastructures. The novel integration of active tangible components on TUI tabletop architectures is presented within this paper and evaluated for its effectiveness as an educational technology to explain Robot Operating System (ROS) based sensor network topologies. Analysis of assessed results highlight the aptness and effectiveness of the proposed TUI framework in delivering a knowledge gain of 14.6% over traditional educational technologies. This illustrates the aptness and suitability of integrating tangible technology for abstracted software and robotic engineering concepts within higher educational institutions.","Higher Education, Active Tangible User Interface, Embedded Interaction, Robot Operating System, Educational Technology","","AMECSE '17"
"Conference Paper","Otterbacher J,Talias M","S/He's Too Warm/Agentic! The Influence of Gender on Uncanny Reactions to Robots","","2017","","","214–223","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","Vienna, Austria","2017","9781450343367","","https://doi.org/10.1145/2909824.3020220;http://dx.doi.org/10.1145/2909824.3020220","10.1145/2909824.3020220","Gender stereotypes are strong influences on human behavior. Given our tendency to anthropomorphize, incorporating gender cues into a robot's design can influence acceptance by humans. However, little is known about the interaction between human and robot gender. We focus on the role of gender in eliciting negative, ``uncanny"" reactions from observers. We create a corpus of YouTube videos featuring robots with female, male and no gender cues. Our experiment is grounded in Gray and Wegner's (2012) model, which holds that uncanny reactions are driven by the perception of robot agency (i.e., ability to plan and control) and experience (i.e., ability to feel), which in turn, is driven by robot appearance and behavior. Participants watched videos and completed questionnaires to gauge perceptions of robots as well as affective reactions. We used Structural Equation Modeling to test whether the model explains reactions of both men and women. For gender-neutral robots, it does. However, we find a salient human-robot gender interaction. Men's uncanny reactions to robots with female cues are best predicted by the perception of experience, while women's negativity toward masculine robots is driven by perceived agency. The result is interpreted in light of the ``Big Two"" dimensions of person perception, which underlie expectations for women to be warm and men to be agentic. When a robot meets these expectations, it increases the chances of an uncanny reaction in the other-gender observer.","measurement, ""big two"" dimensions, social perception, experimentation, uncanny reaction, gender stereotypes","","HRI '17"
"Conference Paper","Dhiman NK,Deodhare D,Khemani D","A ROS Based Framework for Multi-Floor Navigation for Unmanned Ground Robots","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the Advances in Robotics 2019","Chennai, India","2020","9781450366502","","https://doi.org/10.1145/3352593.3352654;http://dx.doi.org/10.1145/3352593.3352654","10.1145/3352593.3352654","This paper presents use of a cost graph as a representation of a multi-floor building to enable the multi-floor autonomous navigation capability for a team of robot(s). A method for global path planning on this cost graph have been presented. A navigation stack provides a framework for building autonomous navigation capabilities. A navigation stack which enables use of the proposed approach for navigation in a multi-floor building and enables multi-robot operations has been detailed. The improvements provided by the proposed navigation stack over the existing ROS (Robot Operating System) navigation stack have been explained. A way to integrate multiple local path-execution nodes which can combine together to execute the planned global path has also been explained. The paper also demonstrates the reuse of existing ROS compliant source codes for implementation of the proposed navigation stack, thereby optimizing the use of proven and established technology. Further, the extensions to different components of the existing ROS navigation stack, definition of new ROS messages and action definitions, to enable interaction between the components of the stack has been explained. The paper concludes with a brief study on how the proposed stack can be used for multi-robot operations.","Navigation architecture, ROS, map representation, autonomous navigation, planning","","AIR 2019"
